warning : 13-04-03 19:02:57 |4028| [StopService] UnregisterServer Result:0
warning : 13-04-03 19:02:58 |4028| [UninitializeService] Begin UninitializeService
warning : 13-04-03 19:02:58 |4028| [UninitializeService] UninitializeService Success

warning : 13-04-03 19:03:10 |4788| Load Cfg Over
warning : 13-04-03 19:03:10 |4788| [InitializeService] Result:0 
warning : 13-04-03 19:03:10 |4788| [StartService] RegisterToServer Result:0
warning : 13-04-03 19:13:28 |5400| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-04-03 19:13:28 |5400| [_DoCloseAllSession] Close Over
warning : 13-04-03 19:13:28 |5400| [StopService] Begin UnregisterServer
warning : 13-04-03 19:13:28 |5400| [StopService] UnregisterServer Result:0
warning : 13-04-03 19:13:28 |5400| [UninitializeService] Begin UninitializeService
warning : 13-04-03 19:13:28 |5400| [UninitializeService] UninitializeService Success

warning : 13-04-03 19:13:36 |4400| Load Cfg Over
warning : 13-04-03 19:13:36 |4400| [InitializeService] Result:0 
warning : 13-04-03 19:13:36 |4400| [StartService] RegisterToServer Result:0
warning : 13-05-01 10:14:30 |6228| Load Cfg Over
warning : 13-05-01 10:14:31 |6228| [InitializeService] Result:0 
warning : 13-05-01 10:14:31 |6228| [StartService] RegisterToServer Result:0
warning : 13-05-01 10:16:39 |6964| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-05-01 10:16:39 |6964| [_DoCloseAllSession] Close Over
warning : 13-05-01 10:16:39 |6964| [StopService] Begin UnregisterServer
warning : 13-05-01 10:16:39 |6964| [StopService] UnregisterServer Result:0
warning : 13-05-01 10:16:39 |6964| [UninitializeService] Begin UninitializeService
warning : 13-05-01 10:16:39 |6964| [UninitializeService] UninitializeService Success

warning : 13-05-01 10:21:55 |5328| Load Cfg Over
warning : 13-05-01 10:21:55 |5328| [InitializeService] Result:0 
warning : 13-05-01 10:21:55 |5328| [StartService] RegisterToServer Result:0
warning : 13-05-01 10:22:11 | 180| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-05-01 10:22:11 | 180| [_DoCloseAllSession] Close Over
warning : 13-05-01 10:22:11 | 180| [StopService] Begin UnregisterServer
warning : 13-05-01 10:22:11 | 180| [StopService] UnregisterServer Result:0
warning : 13-05-01 10:22:11 | 180| [UninitializeService] Begin UninitializeService
warning : 13-05-01 10:22:11 | 180| [UninitializeService] UninitializeService Success

warning : 13-05-01 10:23:36 |6848| Load Cfg Over
warning : 13-05-01 10:23:36 |6848| [InitializeService] Result:0 
warning : 13-05-01 10:23:36 |6848| [StartService] RegisterToServer Result:0
warning : 13-05-01 10:24:59 |6996| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-05-01 10:24:59 |6996| [_DoCloseAllSession] Close Over
warning : 13-05-01 10:24:59 |6996| [StopService] Begin UnregisterServer
warning : 13-05-01 10:24:59 |6996| [StopService] UnregisterServer Result:0
warning : 13-05-01 10:24:59 |6996| [UninitializeService] Begin UninitializeService
warning : 13-05-01 10:24:59 |6996| [UninitializeService] UninitializeService Success

