warning : 13-10-05 09:59:17 |6920| [StopService] UnregisterServer Result:0
warning : 13-10-05 09:59:17 |6920| [UninitializeService] Begin UninitializeService
warning : 13-10-05 09:59:20 |6920| [UninitializeService] UninitializeService Success

warning : 13-10-05 10:08:47 |6748| Load Cfg Over
warning : 13-10-05 10:08:47 |6748| [InitializeService] Result:0 
warning : 13-10-05 10:08:47 |6748| [StartService] RegisterToServer Result:0
warning : 13-10-05 10:08:51 |7076| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-10-05 10:08:51 |7076| [_DoCloseAllSession] Close Over
warning : 13-10-05 10:08:51 |7076| [StopService] Begin UnregisterServer
warning : 13-10-05 10:08:51 |7076| [StopService] UnregisterServer Result:0
warning : 13-10-05 10:08:51 |7076| [UninitializeService] Begin UninitializeService
warning : 13-10-05 10:08:51 |7076| [UninitializeService] UninitializeService Success

warning : 13-10-05 10:42:49 |4036| Load Cfg Over
warning : 13-10-05 10:42:49 |4036| [InitializeService] Result:0 
warning : 13-10-05 10:42:49 |4036| [StartService] RegisterToServer Result:0
warning : 13-10-05 10:42:50 |7160| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-10-05 10:42:50 |7160| [_DoCloseAllSession] Close Over
warning : 13-10-05 10:42:50 |7160| [StopService] Begin UnregisterServer
warning : 13-10-05 10:42:50 |7160| [StopService] UnregisterServer Result:0
warning : 13-10-05 10:42:50 |7160| [UninitializeService] Begin UninitializeService
warning : 13-10-05 10:42:50 |7160| [UninitializeService] UninitializeService Success

